entity_id,entity_name,fy_label,rate_type,foreign_currency,zar_per_unit,status,needs_review,source_text
E09,Shoprite Holdings,FY2025,closing,Nigeria naira,0.012,OK,0.0,USD: R17.860; EUR: R20.890; Zambia kwacha: R0.757; Angola kwanza: R0.019; Mozambique metical: R0.277; Nigeria naira: R0.012 - all at 30 June 2025 (year-end).
E10,Bid Corporation,FY2025,average,,,NOT_DISCLOSED,0.0,Not disclosed
E10,Bid Corporation,FY2025,closing,,,NOT_DISCLOSED,0.0,Not disclosed
E11,Pepkor Holdings,FY2025,average,,,NOT_APPLICABLE,0.0,N/A – presentation currency is ZAR
E11,Pepkor Holdings,FY2025,closing,,,NOT_APPLICABLE,0.0,N/A – presentation currency is ZAR
E12,Clicks Group,FY2025,average,,,NOT_APPLICABLE,0.0,N/A – presentation currency is ZAR; currency-specific FX rates disclosed
E12,Clicks Group,FY2025,closing,,,NOT_APPLICABLE,0.0,N/A – presentation currency is ZAR; currency-specific FX rates disclosed
E13,NEPI Rockcastle,FY2025,average,,,NOT_APPLICABLE,0.0,N/A – financial statements presented in EUR
E13,NEPI Rockcastle,FY2025,closing,,,NOT_APPLICABLE,0.0,N/A – financial statements presented in EUR
E14,Prosus,FY2026,average,USD,17.301,OK,,
E14,Prosus,FY2026,closing,USD,16.9492,OK,,
E15,Naspers,FY2026,average,,,NOT_DISCLOSED,0.0,Not populated – no single aggregate ZAR rate applicable to USD-presented group AFS
E15,Naspers,FY2026,closing,,,NOT_DISCLOSED,0.0,Not populated – no single aggregate ZAR rate applicable to USD-presented group AFS
E16,MTN Group,FY2025,average,,,NOT_DISCLOSED,0.0,Not disclosed
E16,MTN Group,FY2025,closing,,,NOT_DISCLOSED,0.0,Not disclosed
E17,Vodacom Group,FY2026,average,,,NOT_DISCLOSED,0.0,Not disclosed
E17,Vodacom Group,FY2026,closing,,,NOT_DISCLOSED,0.0,Not disclosed
E18,The Bidvest Group,FY2025,average,,,NOT_DISCLOSED,0.0,Not disclosed
E18,The Bidvest Group,FY2025,closing,,,NOT_DISCLOSED,0.0,Not disclosed
E19,Aspen Pharmacare,FY2025,average,USD,18.164,OK,,
E19,Aspen Pharmacare,FY2025,closing,USD,17.712,OK,,
E20,Shaftesbury Capital plc,FY2025,average,,,NOT_DISCLOSED,0.0,Not disclosed
E20,Shaftesbury Capital plc,FY2025,closing,,,NOT_DISCLOSED,0.0,Not disclosed
